"creditScore","houseAge","yearsEmploy","ccDebt","year","default"
738,26,7,5510,2001,0
792,22,5,6879,2001,0
710,22,3,5700,2001,0
663,5,7,986,2001,0
723,27,2,2431,2001,0
727,13,5,2029,2001,0
717,17,5,7884,2001,0
651,18,4,6934,2001,0
628,27,6,5835,2001,0
612,14,5,6789,2001,0
707,22,2,7998,2001,0
715,28,4,5356,2001,0
729,28,6,3242,2001,0
698,25,5,5138,2001,0
672,13,4,2702,2001,0
722,27,7,3310,2001,0
794,21,3,3938,2001,0
682,21,7,8361,2001,0
709,16,2,4240,2001,0
678,20,5,5080,2001,0
661,9,0,7644,2001,0
786,13,6,5573,2001,0
749,18,5,1988,2001,0
647,17,3,5555,2001,0
715,34,4,6506,2001,0
717,23,3,5432,2001,0
739,15,4,5637,2001,0
684,13,6,4434,2001,0
690,31,3,6039,2001,0
713,32,3,8111,2001,0
723,18,4,3009,2001,0
733,26,4,7277,2001,0
778,22,4,7470,2001,0
705,13,5,5613,2001,0
727,1,3,5591,2001,0
732,17,4,6201,2001,0
687,12,5,4464,2001,0
700,24,6,6372,2001,0
648,17,6,5316,2001,0
662,17,4,6619,2001,0
707,31,7,4568,2001,0
757,31,3,7167,2001,0
757,18,1,3795,2001,0
725,8,3,3839,2001,0
767,22,4,7052,2001,0
718,14,7,5076,2001,0
689,12,6,9013,2001,0
714,26,5,4373,2001,0
683,25,5,6251,2001,0
754,26,4,8356,2001,0
721,15,5,5752,2001,0
729,28,3,5577,2001,0
738,33,2,4072,2001,0
691,34,3,2830,2001,0
726,16,1,8015,2001,0
586,12,7,2759,2001,0
736,13,3,6865,2001,0
735,34,4,1716,2001,0
699,15,7,6730,2001,0
631,12,2,9443,2001,0
614,19,8,6299,2001,0
700,18,4,6935,2001,0
617,19,9,5266,2001,0
664,12,4,4817,2001,0
754,26,4,2157,2001,0
716,26,6,4481,2001,0
684,13,5,1762,2001,0
730,15,4,2086,2001,0
746,33,5,3906,2001,0
701,17,4,7191,2001,0
692,32,8,4557,2001,0
658,25,1,4048,2001,0
690,22,1,4382,2001,0
651,21,3,2639,2001,0
652,32,3,5602,2001,0
718,6,3,7306,2001,0
717,11,4,3465,2001,0
727,25,7,4303,2001,0
653,23,7,117,2001,0
694,13,2,3638,2001,0
762,12,5,5076,2001,0
669,17,11,4078,2001,0
693,11,6,8779,2001,0
623,18,7,5140,2001,0
769,24,4,8586,2001,0
685,18,4,2848,2001,0
649,39,2,5557,2001,0
616,5,2,3563,2001,0
694,27,5,6838,2001,0
755,17,0,7325,2001,0
738,24,5,4893,2001,0
748,9,4,5394,2001,0
732,24,4,681,2001,0
619,22,0,7250,2001,0
689,9,3,8250,2001,0
692,29,4,4748,2001,0
692,17,9,6689,2001,0
650,19,4,5649,2001,0
702,27,6,6033,2001,0
700,19,6,4511,2001,0
744,24,7,5725,2001,0
808,37,1,4753,2001,0
740,11,7,4078,2001,0
683,30,1,8933,2001,0
752,8,4,4838,2001,0
649,19,5,1836,2001,0
792,22,4,6590,2001,0
757,27,6,5144,2001,0
639,16,6,4845,2001,0
730,21,6,4068,2001,0
620,21,6,9709,2001,0
729,20,4,3271,2001,0
703,13,7,6191,2001,0
655,21,5,3236,2001,0
672,18,6,2957,2001,0
699,24,10,4814,2001,0
757,21,8,6553,2001,0
635,27,4,1084,2001,0
798,22,5,5231,2001,0
683,26,10,2957,2001,0
733,20,6,5444,2001,0
723,23,4,0,2001,0
724,18,0,5862,2001,0
685,17,9,4973,2001,0
693,24,9,4162,2001,0
657,25,7,7231,2001,0
693,27,6,1761,2001,0
645,17,6,3741,2001,0
717,18,7,7415,2001,0
623,17,5,5060,2001,0
632,30,5,6218,2001,0
737,22,6,6944,2001,0
761,11,6,2358,2001,0
703,17,2,4225,2001,0
653,26,4,9647,2001,0
651,31,2,5289,2001,0
704,21,5,5923,2001,0
709,20,2,1595,2001,0
707,11,4,4863,2001,0
730,17,6,3182,2001,0
668,23,6,7764,2001,0
802,27,4,6993,2001,0
788,24,5,4812,2001,0
718,30,1,6063,2001,0
671,11,7,7910,2001,0
626,21,4,3990,2001,0
589,16,3,7088,2001,0
752,25,6,10544,2001,0
740,17,4,6603,2001,0
670,13,6,3782,2001,0
685,17,3,2678,2001,0
661,16,8,2870,2001,0
750,9,4,5536,2001,0
730,32,5,2999,2001,0
802,22,5,2154,2001,0
628,14,5,2289,2001,0
796,22,6,7803,2001,0
637,8,7,6724,2001,0
718,36,7,6858,2001,0
704,18,3,7758,2001,0
717,13,3,3808,2001,0
694,28,8,5584,2001,0
722,16,8,7550,2001,0
721,27,2,3631,2001,0
684,19,5,4200,2001,0
733,11,5,0,2001,0
725,23,5,6437,2001,0
718,8,8,344,2001,0
739,14,5,3560,2001,0
626,23,5,6091,2001,0
672,25,4,7033,2001,0
805,25,8,6083,2001,0
743,24,5,1101,2001,0
654,23,5,1588,2001,0
756,13,6,5604,2001,0
596,26,4,3329,2001,0
714,33,1,4637,2001,0
629,9,4,0,2001,0
753,23,6,7911,2001,0
717,28,5,7338,2001,0
714,27,6,2864,2001,0
752,23,4,5123,2001,0
650,13,2,4425,2001,0
786,21,5,5600,2001,0
744,23,4,4350,2001,0
675,19,7,6603,2001,0
758,28,3,7516,2001,0
709,13,8,3476,2001,0
744,33,7,681,2001,0
665,13,6,3265,2001,0
635,22,1,4021,2001,0
712,22,4,5544,2001,0
720,29,4,6415,2001,0
653,5,4,6569,2001,0
740,32,5,6955,2001,0
688,16,7,6377,2001,0
636,26,4,3927,2001,0
696,30,6,5706,2001,0
687,17,4,7722,2001,0
705,28,5,7379,2001,0
793,10,7,9329,2001,0
707,33,3,1560,2001,0
677,24,3,6880,2001,0
642,17,8,8266,2001,0
697,5,5,4944,2001,0
693,34,6,3107,2001,0
637,20,9,3685,2001,0
766,17,3,8681,2001,0
761,29,6,5956,2001,0
679,12,2,8598,2001,0
650,18,3,5729,2001,0
729,19,5,7141,2001,0
671,20,5,3342,2001,0
678,2,3,5020,2001,0
636,26,5,4602,2001,0
710,11,5,5507,2001,0
726,27,4,2262,2001,0
690,22,6,4669,2001,0
652,20,6,8862,2001,0
718,23,4,3698,2001,0
736,13,8,6897,2001,0
657,27,6,1676,2001,0
675,26,7,4152,2001,0
638,26,2,7134,2001,0
656,9,6,3841,2001,0
664,20,7,5370,2001,0
736,24,5,6276,2001,0
727,18,5,1892,2001,0
624,26,3,4745,2001,0
720,26,5,5864,2001,0
661,7,5,5884,2001,0
758,19,2,7819,2001,0
668,20,5,7294,2001,0
628,18,5,7870,2001,0
665,13,7,2024,2001,0
693,8,5,4180,2001,0
678,21,4,4471,2001,0
702,13,4,2693,2001,0
714,18,7,3611,2001,0
694,12,2,7715,2001,0
624,21,3,8262,2001,0
678,18,2,3808,2001,0
731,37,6,7269,2001,0
730,31,3,3044,2001,0
734,12,0,5234,2001,0
626,13,3,5330,2001,0
695,15,5,4937,2001,0
691,26,7,3905,2001,0
660,18,5,3642,2001,0
625,8,7,2812,2001,0
652,9,5,6656,2001,0
726,20,6,6322,2001,0
730,16,4,7113,2001,0
694,28,6,4571,2001,0
663,25,8,2784,2001,0
755,8,8,8436,2001,0
648,24,4,2363,2001,0
717,27,6,2496,2001,0
589,13,4,5633,2001,0
722,18,3,5354,2001,0
680,14,4,4225,2001,0
645,12,7,6313,2001,0
690,17,9,3502,2001,0
740,25,3,6142,2001,0
718,25,4,5275,2001,0
701,34,1,3576,2001,0
777,21,5,4456,2001,0
700,20,6,5675,2001,0
806,23,6,427,2001,0
605,28,8,6956,2001,0
718,25,7,6359,2001,0
710,15,5,3873,2001,0
792,15,4,4628,2001,0
727,13,6,4412,2001,0
651,21,4,3891,2001,0
758,24,4,4246,2001,0
774,16,3,3962,2001,0
626,22,3,7587,2001,0
715,32,2,6668,2001,0
664,9,7,8438,2001,0
620,11,6,3823,2001,0
733,12,9,4765,2001,0
670,18,3,4085,2001,0
644,21,4,9408,2001,0
694,30,4,2631,2001,0
799,18,4,3831,2001,0
745,25,5,3289,2001,0
663,19,3,8035,2001,0
686,29,4,5095,2001,0
751,22,5,2113,2001,0
691,18,8,4955,2001,0
725,14,4,5826,2001,0
550,34,6,6073,2001,0
685,12,5,4627,2001,0
669,20,4,3043,2001,0
850,24,6,5335,2001,0
665,22,5,3998,2001,0
801,12,7,2801,2001,0
724,19,7,6351,2001,0
672,26,5,7200,2001,0
668,15,4,6197,2001,0
766,34,4,8150,2001,0
663,23,5,4875,2001,0
666,16,5,3255,2001,0
612,34,8,8275,2001,0
712,20,4,3219,2001,0
750,17,6,4842,2001,0
736,15,11,5562,2001,0
755,17,7,4749,2001,0
656,0,3,6044,2001,0
726,12,7,0,2001,0
698,23,4,6968,2001,0
689,22,6,3062,2001,0
685,9,3,4460,2001,0
653,13,5,4547,2001,0
747,10,9,6947,2001,0
622,20,6,5481,2001,0
708,8,6,4999,2001,0
777,23,5,5962,2001,0
743,30,5,8064,2001,0
674,21,7,7016,2001,0
713,16,8,3797,2001,0
749,10,5,2739,2001,0
657,14,4,4347,2001,0
587,31,7,3855,2001,0
636,23,6,8481,2001,0
704,20,3,7097,2001,0
661,34,6,1955,2001,0
736,1,8,2071,2001,0
726,15,7,2908,2001,0
667,15,5,5561,2001,0
697,23,2,6266,2001,0
663,30,4,1772,2001,0
697,27,6,3627,2001,0
688,27,8,6671,2001,0
668,15,5,8467,2001,0
723,24,4,6913,2001,0
743,18,4,5774,2001,0
715,23,3,5849,2001,0
672,25,5,2226,2001,0
638,21,3,4535,2001,0
678,15,3,932,2001,0
635,32,6,2355,2001,0
710,9,3,3293,2001,0
717,30,6,4473,2001,0
760,17,6,3940,2001,0
638,26,6,6032,2001,0
685,29,3,4810,2001,0
681,10,5,1458,2001,0
679,26,8,5386,2001,0
807,33,5,0,2001,0
700,24,4,8064,2001,0
